year,week,sleep_score,sleep_total_min,sleep_deep_min,sleep_rem_min,sleep_hr_lowest,readiness_score,resting_hr,activity_score,active_calories,steps,sauna_sessions,total_work_hr,meeting_count,meeting_hr,focus_hr,mood,energy
2025,1,89.0,,,,,77.7,58.3,77.3,644.0,25356.0,0.0,12.0,1.0,12.0,0.0,,
2025,47,78.0,,,,,72.0,45.0,72.0,885.0,6092.0,0.0,,,,,,
2025,48,80.9,,,,,72.6,37.3,71.1,434.1,39372.0,0.0,0.4,0.5,0.4,0.0,,
2025,49,77.0,,,,,66.9,23.7,69.7,520.3,28395.0,0.0,8.9,7.1,6.6,2.3,,
2025,50,78.4,,,,,70.6,46.0,63.3,304.1,32394.0,0.0,11.2,8.0,11.8,0.9,,
2025,51,83.6,,,,,74.1,39.9,60.3,328.6,25476.0,0.0,8.5,8.6,8.5,0.5,,
2025,52,81.4,,,,,75.4,55.9,80.4,656.9,44063.0,0.0,7.9,3.0,6.9,1.0,,
2026,1,83.8,,,,,77.8,65.8,74.2,724.5,32092.0,0.0,6.2,0.8,6.2,0.0,,
2026,2,83.4,,,,,80.7,84.9,75.6,407.0,21268.0,0.0,9.0,5.7,6.5,2.5,,
2026,3,77.6,,,,,81.4,76.4,63.0,365.9,17606.0,0.0,8.6,11.4,9.0,0.5,,
2026,4,82.3,,,,,83.0,73.0,69.0,399.0,22311.0,0.0,8.8,6.9,7.2,1.7,,
2026,5,72.6,,,,,80.0,67.4,67.0,344.6,29634.0,0.0,14.0,8.0,10.9,3.3,,
2026,6,78.1,,,,,75.1,61.9,63.9,425.7,36045.0,0.0,13.7,8.7,14.2,1.3,,
2026,7,79.6,,,,,79.3,67.7,70.6,524.6,28554.0,0.0,8.7,7.7,7.7,1.0,,
2026,8,82.6,,,,,85.4,84.4,69.8,454.0,8027.0,1.0,8.4,7.5,7.0,1.4,4.0,3.0
