date,first_event_time,last_event_time,total_work_hr,meeting_count,meeting_hr,focus_hr
2025-11-29,,,0.0,0,0.0,0.0
2025-11-30,17:00,17:50,0.83,1,0.83,0.0
2025-12-01,3:00,13:30,10.5,12,9.33,1.17
2025-12-02,3:00,13:45,10.75,11,9.92,0.83
2025-12-03,3:00,13:15,10.25,5,5.75,4.5
2025-12-04,3:00,14:00,11.0,10,8.08,2.92
2025-12-05,3:00,13:00,10.0,10,6.58,3.42
2025-12-06,,,0.0,0,0.0,0.0
2025-12-07,8:02,17:50,9.8,2,6.27,3.53
2025-12-08,8:00,10:00,2.0,2,9.25,0.0
2025-12-09,4:00,15:30,11.5,16,11.33,0.17
2025-12-10,3:30,16:00,12.5,12,13.33,0.0
2025-12-11,2:30,13:30,11.0,13,13.42,0.0
2025-12-12,3:00,2:00,23.0,10,19.92,3.08
2025-12-13,17:35,11:06,17.52,2,14.78,2.74
2025-12-14,17:00,17:50,0.83,1,0.83,0.0
2025-12-15,3:00,14:30,11.5,10,10.5,1.0
2025-12-16,3:00,16:35,13.58,12,12.75,0.83
2025-12-17,3:00,15:00,12.0,15,15.83,0.0
2025-12-18,3:00,15:00,12.0,12,10.67,1.33
2025-12-19,3:00,13:10,10.17,11,9.75,0.42
2025-12-20,,,0.0,0,0.0,0.0
2025-12-21,,,0.0,0,0.0,0.0
2025-12-22,3:00,15:30,12.5,9,8.92,3.58
2025-12-23,3:00,11:30,8.5,6,8.17,0.33
2025-12-24,3:00,13:50,10.83,2,10.83,0.0
2025-12-25,3:00,18:20,15.33,1,15.33,0.0
2025-12-26,3:00,11:00,8.0,3,5.0,3.0
2025-12-27,,,0.0,0,0.0,0.0
2025-12-28,,,0.0,0,0.0,0.0
2025-12-29,3:00,15:00,12.0,1,12.0,0.0
2025-12-30,3:00,15:00,12.0,1,12.0,0.0
2025-12-31,3:00,15:00,12.0,1,12.0,0.0
